matchNum,summoner,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
1,AA On RightClick,"NA1_4244543062",22,25,14612,1.4,18785,2,1930,10,1
2,AA On RightClick,"NA1_4244538345",12,12,8926,1,2983,-1,955,10,1
3,AA On RightClick,"NA1_4244485976",-13,-23,-10510,-1.4,-15070,1,1352,10,0
4,AA On RightClick,"NA1_4244480135",-16,-23,-8922,-1.6,-10548,-4,1608,10,0
5,AA On RightClick,"NA1_4240584368",-24,-28,-12021,-2,-12134,-2,1570,10,0
6,AA On RightClick,"NA1_4232140361",-16,0,-14092,-1.2,-23317,-4,1803,10,0
7,AA On RightClick,"NA1_4232058157",15,24,10072,1.6,19166,-2,1573,10,1
8,AA On RightClick,"NA1_4232071825",11,10,7792,1.4,9352,3,2027,10,1
9,AA On RightClick,"NA1_4231039712",-20,-26,-13446,-2.4,-20420,-4,1604,10,0
10,AA On RightClick,"NA1_4231026829",-14,-12,-8047,-0.8,-7042,-1,957,10,0
11,AA On RightClick,"NA1_4231021512",18,29,9027,1.6,2568,1,2017,10,1
12,AA On RightClick,"NA1_4230742860",3,24,7414,0.8,12959,5,2254,10,1
13,AA On RightClick,"NA1_4230120847",-9,-10,-4848,0.4,-18629,1,1957,10,0
14,AA On RightClick,"NA1_4230077798",28,27,17165,2,22092,3,1441,10,1
15,AA On RightClick,"NA1_4229823074",-9,-2,-8309,-0.8,-14943,-1,1414,10,0
16,AA On RightClick,"NA1_4229757717",11,19,5434,1.4,4593,4,2409,10,1
17,AA On RightClick,"NA1_4217496812",1,8,-2322,0.4,-8326,4,2561,10,0
18,AA On RightClick,"NA1_4214314374",-8,-9,-2225,-1.2,5520,1,2168,10,0
19,AA On RightClick,"NA1_4214259734",23,20,10943,1.4,7680,1,1422,10,1
20,AA On RightClick,"NA1_4214284102",-17,-18,-12830,-2.4,-16279,-1,1409,10,0
21,AA On RightClick,"NA1_4212521083",-1,-5,2645,0.4,4497,3,1470,10,1
22,AA On RightClick,"NA1_4212474294",21,47,13643,2.2,16042,-2,1923,10,1
23,AA On RightClick,"NA1_4207542654",-19,-23,-10676,-2.2,2866,-5,1960,10,0
24,AA On RightClick,"NA1_4207298789",12,30,10252,1.4,12891,2,1864,10,1
25,AA On RightClick,"NA1_4207283446",18,29,11162,1,7292,3,1899,10,1
26,AA On RightClick,"NA1_4205142098",-18,-31,-14165,-1.8,-18236,-1,1576,10,0
27,AA On RightClick,"NA1_4205081961",-19,-28,-10725,-1.2,-5598,-1,1936,10,0
28,AA On RightClick,"NA1_4184497560",-5,-8,-8736,-1.4,2604,-2,2229,10,0
29,AA On RightClick,"NA1_4184407695",-3,-25,-8060,-0.8,-9942,4,2378,10,0
30,AA On RightClick,"NA1_4183461450",-6,-19,-2344,-0.6,13322,-4,1717,10,1
31,AA On RightClick,"NA1_4178296335",-14,-30,-11022,-2,-8481,-2,1868,10,0
32,AA On RightClick,"NA1_4176606024",-25,-14,-5011,-0.6,4046,-2,2636,10,0
33,AA On RightClick,"NA1_4176577473",-11,-27,-7290,-1.2,-13554,-2,1657,10,0
34,AA On RightClick,"NA1_4176590083",-14,-25,-9763,-1.8,-2446,-1,1365,10,0
35,AA On RightClick,"NA1_4176415979",-14,-26,-14002,-1.4,-12012,-2,1583,10,0
36,AA On RightClick,"NA1_4176411438",9,11,7515,1.4,4277,1,1265,10,1
37,AA On RightClick,"NA1_4171739556",16,10,7604,0,16562,0,2392,10,1
38,AA On RightClick,"NA1_4171730787",-12,-21,-12160,-2,2971,-2,1914,10,0
39,AA On RightClick,"NA1_4171702262",-16,-8,-9963,-0.4,-18593,-4,1550,10,0
40,AA On RightClick,"NA1_4171654553",10,29,6040,1,9201,1,1374,10,1
41,AA On RightClick,"NA1_4171597661",-20,-29,-10531,-1.4,-9621,-2,1238,10,0
42,AA On RightClick,"NA1_4171518794",-9,-2,-13874,-1.2,-17835,-1,1778,10,0
43,AA On RightClick,"NA1_4155154936",-14,-18,-11309,0,-31345,-1,1521,10,0
44,AA On RightClick,"NA1_4154599177",9,8,1652,0,-5091,-2,2772,10,0
45,AA On RightClick,"NA1_4154614433",-5,-5,-119,-0.2,-2088,2,1445,10,0
46,AA On RightClick,"NA1_4144911779",10,25,8301,0.2,5940,1,2785,10,1
47,AA On RightClick,"NA1_4144856885",18,26,10979,1.2,17085,1,1209,10,1
48,AA On RightClick,"NA1_4144789080",-2,-16,6286,0.4,16286,2,2063,10,1
49,AA On RightClick,"NA1_4144802545",7,26,2830,0,10813,-4,1541,10,1
50,AA On RightClick,"NA1_4004914846",-12,-12,-6932,-0.8,-6977,-4,1539294,10,0
51,Glympsè,"NA1_4212109277",2,24,4837,0.8,5611,0,1650,10,1
52,Glympsè,"NA1_4211465498",-11,-32,-7414,-0.8,-10903,-2,1995,10,0
53,Glympsè,"NA1_4207465489",19,36,13162,2.6,8444,2,1832,10,1
54,Glympsè,"NA1_4206191385",-18,-12,-16194,-1.6,-21521,-2,1656,10,0
55,Glympsè,"NA1_4206035035",-19,-24,-13153,-1.6,-10447,2,1762,10,0
56,Glympsè,"NA1_4205981056",-25,-30,-18226,-2.6,-20898,-2,1344,10,0
57,Glympsè,"NA1_4205447515",-9,-24,-12321,-1.2,-13089,0,1471,10,0
58,Glympsè,"NA1_4205470814",7,33,965,1.2,2316,0,1773,10,1
59,Glympsè,"NA1_4205362748",-15,3,-9598,0.2,-1517,0,2488,10,0
60,Glympsè,"NA1_4205312328",8,30,6550,1,20706,3,2108,10,1
61,Glympsè,"NA1_4205285705",14,18,9778,1,14399,2,1303,10,1
62,Glympsè,"NA1_4204132979",-6,-28,-2549,-0.2,-7528,-2,2515,10,0
63,Glympsè,"NA1_4204094269",-21,-33,-12268,-2.2,-14388,0,1807,10,0
64,Glympsè,"NA1_4203721408",13,14,10530,1.4,9451,3,1820,10,1
65,Glympsè,"NA1_4203665154",3,23,156,-0.2,8716,-1,1899,10,1
66,Glympsè,"NA1_4203557028",22,34,13390,1.8,16546,2,1374,10,1
67,Glympsè,"NA1_4202870429",9,15,5999,0.4,4359,4,1549,10,1
68,Glympsè,"NA1_4202832780",-19,-9,-11648,-1,-16223,-3,1252,10,0
69,Glympsè,"NA1_4201953524",-18,-16,-7694,-1,-1724,-1,1981,10,0
70,Glympsè,"NA1_4201909249",-17,-25,-13762,-2,-20968,-4,1449,10,0
71,Glympsè,"NA1_4201866942",-16,-6,-11520,-2,-9411,-1,1983,10,0
72,Glympsè,"NA1_4201548519",-5,-8,-11395,-2,-17702,-5,2012,10,0
73,Glympsè,"NA1_4201323131",12,34,2838,0.4,16214,3,2531,10,1
74,Glympsè,"NA1_4200502900",-15,-24,-10311,-1,-11000,-3,1858,10,0
75,Glympsè,"NA1_4200423632",-15,-35,-12182,-2.2,-12717,-2,2170,10,0
76,Glympsè,"NA1_4200366818",17,14,11387,1.4,19131,2,1589,10,1
77,Glympsè,"NA1_4200346913",18,24,10045,1.6,11582,4,1745,10,1
78,Glympsè,"NA1_4199997419",-10,-23,-4737,-0.6,547,-1,2211,10,0
79,Glympsè,"NA1_4199872673",5,7,5639,1.2,14146,3,1688,10,1
80,Glympsè,"NA1_4199439884",-7,-33,-3160,-0.2,-3710,-3,2732,10,0
81,Glympsè,"NA1_4199373306",13,41,8603,0.8,6930,3,2371,10,1
82,Glympsè,"NA1_4199258993",9,28,7531,0.8,2890,0,1673,10,1
83,Glympsè,"NA1_4199293475",-17,-10,-9323,-1.2,-4421,-2,1761,10,0
84,Glympsè,"NA1_4198348281",1,-26,-4194,-0.2,-12570,0,1980,10,0
85,Glympsè,"NA1_4198342459",15,43,9228,1.4,9152,2,1574,10,1
86,Glympsè,"NA1_4198286393",8,-11,5657,0.8,9805,-1,1663,10,1
87,Glympsè,"NA1_4198029855",-25,-23,-17103,-2.2,-16969,-4,1687,10,0
88,Glympsè,"NA1_4197944932",-8,30,-2523,0,-11935,-3,2075,10,0
89,Glympsè,"NA1_4197568054",6,4,9277,1,17470,2,1856,10,1
90,Glympsè,"NA1_4197555794",14,16,7660,1.2,16736,1,2470,10,1
91,Glympsè,"NA1_4197483843",-16,-21,-15994,-2,-17146,0,1412,10,0
92,Glympsè,"NA1_4197385725",5,-10,4518,-0.2,11675,0,1777,10,1
93,Glympsè,"NA1_4197173078",-3,-17,-2175,-0.6,6055,0,2282,10,0
94,Glympsè,"NA1_4196397530",-16,-34,-11798,-1.6,-16191,-2,1619,10,0
95,Glympsè,"NA1_4194706523",-13,-28,-8086,-1.2,-9506,-4,1822,10,0
96,Glympsè,"NA1_4194547765",9,21,7349,1.4,2861,2,1208,10,1
97,Glympsè,"NA1_4194486731",-16,-21,-10249,-1.8,-21777,1,2128,10,0
98,Glympsè,"NA1_4194397222",-12,-20,-9278,-1,-11430,-2,1557,10,0
99,Glympsè,"NA1_4194315976",-32,-50,-5962,-0.2,-6471,-4,2475,10,0
100,Glympsè,"NA1_4192656490",6,13,5069,1.2,2071,-1,2242,10,1
101,teemointsyou,"NA1_4265433638",-24,-33,-16372,-2.4,-15572,-4,1432,10,0
102,teemointsyou,"NA1_4264978763",1,-12,-4129,-1.2,5501,3,2327,10,0
103,teemointsyou,"NA1_4264974792",10,12,8954,0.8,6201,0,1665,10,1
104,teemointsyou,"NA1_4264914587",-7,8,-11157,-1,-17737,-3,2066,10,0
105,teemointsyou,"NA1_4264892101",2,13,4734,1,9222,0,1520,10,1
106,teemointsyou,"NA1_4264839150",-16,-31,-12631,-1.8,-13840,-2,1704,10,0
107,teemointsyou,"NA1_4261186548",-25,-43,-11325,-1.4,-23207,2,1835,10,0
108,teemointsyou,"NA1_4260444731",13,28,12435,1.2,17610,3,1836,10,1
109,teemointsyou,"NA1_4260357050",14,36,13262,1.8,20553,3,1571,10,1
110,teemointsyou,"NA1_4260340204",-14,-33,-11667,-0.8,-14817,-2,1739,10,0
111,teemointsyou,"NA1_4259396537",2,-17,2115,0,10658,0,2321,10,1
112,teemointsyou,"NA1_4259367866",13,26,8003,1,14622,1,2040,10,1
113,teemointsyou,"NA1_4259351041",-17,-25,-9516,-1.4,-9075,-2,1804,10,0
114,teemointsyou,"NA1_4259304569",9,0,10988,1.6,14816,2,1622,10,1
115,teemointsyou,"NA1_4259227930",-11,-21,2293,0.4,5430,-1,2165,10,1
116,teemointsyou,"NA1_4259136607",14,32,8674,0.6,11405,3,1556,10,1
117,teemointsyou,"NA1_4259132652",-13,-20,-12379,-1.6,-15372,-1,1528,10,0
118,teemointsyou,"NA1_4259080361",15,43,13426,1.6,15890,0,1955,10,1
119,teemointsyou,"NA1_4259025790",9,16,2688,0.4,-6371,4,1716,10,1
120,teemointsyou,"NA1_4259019774",0,21,953,0,-4259,-2,2476,10,0
121,teemointsyou,"NA1_4258975261",1,5,-4637,-1,-19089,1,1534,10,0
122,teemointsyou,"NA1_4258957817",1,-6,-7748,-1.2,-96,0,1954,10,0
123,teemointsyou,"NA1_4258906001",18,20,6886,1.4,4681,1,1918,10,1
124,teemointsyou,"NA1_4258930744",20,46,5242,1.6,999,4,1830,10,1
125,teemointsyou,"NA1_4258593246",10,6,12037,0.2,417,2,2950,10,1
126,teemointsyou,"NA1_4258527012",8,22,8489,0.8,8595,3,1947,10,1
127,teemointsyou,"NA1_4258481996",-14,-23,-10151,-1.4,-10620,-2,1695,10,0
128,teemointsyou,"NA1_4258432933",-8,6,-4668,-0.8,-20773,2,1835,10,0
129,teemointsyou,"NA1_4256226896",11,13,8331,0.4,19697,-3,2091,10,1
130,teemointsyou,"NA1_4252700283",5,-30,3142,-0.2,-2207,1,2204,10,0
131,teemointsyou,"NA1_4252646277",17,22,15061,1.6,12018,2,1433,10,1
132,teemointsyou,"NA1_4252579976",-14,-32,-8791,-1.4,-11603,1,1423,10,0
133,teemointsyou,"NA1_4252554681",-9,-2,-12201,-1.4,-12988,-3,1813,10,0
134,teemointsyou,"NA1_4252478445",-15,-41,-6925,-0.8,-14074,0,2359,10,0
135,ShakeAndBakeAK,"NA1_4257754588",-1,-6,4363,0.2,12626,5,2158,10,1
136,ShakeAndBakeAK,"NA1_4257760554",14,47,11878,1.4,10910,-1,1659,10,1
137,ShakeAndBakeAK,"NA1_4257618084",-21,-50,-11002,-1.8,-9286,-4,1813,10,0
138,ShakeAndBakeAK,"NA1_4257548343",11,40,-5883,-0.2,-1112,-2,2481,10,0
139,ShakeAndBakeAK,"NA1_4257479368",18,13,10382,1.6,11650,3,1758,10,1
140,ShakeAndBakeAK,"NA1_4252271848",10,30,11170,1.6,7565,2,1604,10,1
141,ShakeAndBakeAK,"NA1_4252217473",-5,-8,-6320,-0.6,-6821,-4,1841,10,0
142,ShakeAndBakeAK,"NA1_4252114854",13,22,6560,1.4,8574,3,1347,10,1
143,ShakeAndBakeAK,"NA1_4238993502",-14,-39,-11547,-1.4,-5163,-2,2245,10,0
144,ShakeAndBakeAK,"NA1_4234217405",-1,-10,594,0.2,8537,-2,2143,10,1
145,ShakeAndBakeAK,"NA1_4234232659",16,-20,10432,0.8,11523,3,1417,10,1
146,ShakeAndBakeAK,"NA1_4234157501",-14,-19,-8311,-1,-12800,-2,2049,10,0
147,ShakeAndBakeAK,"NA1_4233088462",17,30,14912,1.6,13505,4,1499,10,1
148,ShakeAndBakeAK,"NA1_4233067813",-2,-1,-1438,-0.8,-214,0,200,10,0
149,ShakeAndBakeAK,"NA1_4232976241",-8,-33,-7370,-1.4,-5424,2,1609,10,0
150,ShakeAndBakeAK,"NA1_4232948771",-8,-19,-9380,-1.2,-11846,1,1989,10,0
151,ShakeAndBakeAK,"NA1_4232404734",1,1,-3144,0,-62,2,2393,10,1
152,ShakeAndBakeAK,"NA1_4232388287",15,15,10916,1.4,9799,0,1104,10,1
153,ShakeAndBakeAK,"NA1_4232362120",20,20,15989,2,21296,-1,1781,10,1
154,ShakeAndBakeAK,"NA1_4232066591",-5,-27,-6017,-1.2,-22253,0,2073,10,0
155,ShakeAndBakeAK,"NA1_4232043779",-10,-12,-9383,-1.4,-5601,-1,1146,10,0
156,ShakeAndBakeAK,"NA1_4231988960",3,-3,1346,0.2,-7407,0,1771,10,0
157,ShakeAndBakeAK,"NA1_4231983693",5,2,8864,-0.6,23540,1,1390,10,1
158,ShakeAndBakeAK,"NA1_4231897608",15,19,12242,1.2,7146,0,1283,10,1
159,ShakeAndBakeAK,"NA1_4231806912",-1,18,-932,0.4,-6292,0,2495,10,1
160,ShakeAndBakeAK,"NA1_4226410237",-23,-34,-13039,-1.6,-9903,0,1429,10,0
161,ShakeAndBakeAK,"NA1_4221430346",35,36,16207,2.2,12912,3,1299,10,1
162,ShakeAndBakeAK,"NA1_4221337251",-13,-5,-11243,-1.4,-16177,-3,1444,10,0
163,ShakeAndBakeAK,"NA1_4221353631",3,7,3481,0.4,4185,2,1658,10,1
164,ShakeAndBakeAK,"NA1_4221319206",-11,-22,-9282,-1.2,-7801,1,1389,10,0
165,ShakeAndBakeAK,"NA1_4218215817",15,32,9366,1.2,20627,4,1708,10,1
166,ShakeAndBakeAK,"NA1_4217106558",-11,-17,-7974,-1,-20676,-1,1422,10,0
167,ShakeAndBakeAK,"NA1_4217065005",-16,-16,-4838,-1,-7365,-2,1222,10,0
168,ShakeAndBakeAK,"NA1_4217082167",-18,-15,-11174,-1.6,-2968,0,1156,10,0
169,ShakeAndBakeAK,"NA1_4216935020",-17,-14,-11785,-1.6,-18686,-2,1720,10,0
170,ShakeAndBakeAK,"NA1_4216166532",10,5,11308,1.6,15662,2,1324,10,1
171,ShakeAndBakeAK,"NA1_4216163714",-14,-12,-12340,-1.4,-12863,-4,1471,10,0
172,ShakeAndBakeAK,"NA1_4210688695",16,15,7961,1.6,10467,2,1772,10,1
173,ShakeAndBakeAK,"NA1_4210714841",5,7,8517,1.4,10257,2,1479,10,1
174,ShakeAndBakeAK,"NA1_4210673658",-14,-11,-11054,-1.4,-17778,-2,1009,10,0
175,ShakeAndBakeAK,"NA1_4209600545",14,8,11469,1.2,17820,1,1527,10,1
176,ShakeAndBakeAK,"NA1_4209520224",-16,-7,-10448,-1.6,-17344,0,1625,10,0
177,ShakeAndBakeAK,"NA1_4206559923",27,33,14705,1.6,19519,4,1660,10,1
178,ShakeAndBakeAK,"NA1_4204346556",-10,-10,-6931,-1.2,-4919,-2,1300,10,0
179,ShakeAndBakeAK,"NA1_4204391545",8,23,9592,0.8,16663,2,1725,10,1
180,ShakeAndBakeAK,"NA1_4201580237",-19,-39,-7698,-0.6,-7687,-3,2426,10,0
181,ShakeAndBakeAK,"NA1_4201513870",20,42,12872,1.4,22443,1,1621,10,1
182,ShakeAndBakeAK,"NA1_4200569923",18,41,4187,0.2,-19243,1,2854,10,1
183,ShakeAndBakeAK,"NA1_4200495081",-4,-9,-5030,-0.6,-10644,-3,1967,10,0
184,ShakeAndBakeAK,"NA1_4200467479",19,30,8539,1,12396,1,2194,10,1
185,Olórun,"NA1_4249625450",10,9,9037,1.2,6999,3,1314,10,1
186,Olórun,"NA1_4249631510",-5,-16,-14004,-1,-22431,-3,1991,10,0
